order_id,order_date,customer_name,region,sales_rep,product_category,product_name,unit_price,quantity,total_amount,order_status
ORD00066,01-01-2024,Kavya Kapoor,South,Neha Reddy,Sports,Cricket Bat,1895.65,2,3791.3,Delivered
ORD00536,01-01-2024,Tarun Malhotra,North,Priya Nair,Furniture,Bookshelf,21290.89,1,21290.89,Delivered
ORD01527,01-01-2024,Riya Shah,East,Priya Nair,Electronics,Smartwatch,61021.96,1,61021.96,Pending
ORD02443,01-01-2024,Gaurav Desai,West,Sneha Iyer,Furniture,Sofa,18735.88,1,18735.88,Pending
ORD02425,02-01-2024,Riya Shah,East,Aarav Sharma,Furniture,Sofa,17613.44,2,35226.88,Delivered
ORD00681,03-01-2024,Kavya Reddy,South,Aarav Sharma,Clothing,T-Shirt,3750.42,1,3750.42,Pending
ORD01764,03-01-2024,Suresh Malhotra,West,Vikram Singh,Furniture,Sofa,20507.34,1,20507.34,Cancelled
ORD01909,03-01-2024,Rajesh Patel,East,Arjun Rao,Electronics,Smartphone,76855.76,1,76855.76,Delivered
ORD00494,04-01-2024,Anita Desai,North,Aarav Sharma,Groceries,Atta 10kg,2064.11,1,2064.11,Delivered
ORD02266,04-01-2024,Riya Joshi,East,Anjali Gupta,Electronics,Smartphone,20930.16,1,20930.16,Delivered
ORD00073,05-01-2024,Riya Kapoor,North,Karan Verma,Furniture,Study Table,5659.75,1,5659.75,Pending
ORD01337,05-01-2024,Vivek Shah,East,Neha Reddy,Electronics,Tablet,67688.95,1,67688.95,Delivered
ORD02016,05-01-2024,Nikhil Reddy,Central,Divya Menon,Clothing,T-Shirt,2035.85,1,2035.85,Delivered
ORD02155,05-01-2024,Isha Nair,West,Arjun Rao,Sports,Yoga Mat,5917.18,1,5917.18,Delivered
ORD02127,06-01-2024,Isha Reddy,North,Karan Verma,Clothing,T-Shirt,1348.54,1,1348.54,Cancelled
ORD01890,06-01-2024,Meera Nair,North,Priya Nair,Groceries,Cooking Oil 1L,939.7,2,1879.4,Delivered
ORD02130,06-01-2024,Rahul Kumar,East,Rohan Mehta,Clothing,T-Shirt,3705.08,1,3705.08,Delivered
ORD02124,07-01-2024,Tarun Nair,North,Priya Nair,Sports,Dumbbells Set,4195.63,1,4195.63,Delivered
ORD00142,07-01-2024,Sonal Desai,South,Divya Menon,Sports,Cricket Bat,7013.2,1,7013.2,Pending
ORD02246,07-01-2024,Suresh Shah,South,Anjali Gupta,Clothing,Jacket,932.02,2,1864.04,Delivered
ORD01469,07-01-2024,Gaurav Nair,South,Anjali Gupta,Electronics,Tablet,55414.69,2,110829.38,Pending
ORD02322,09-01-2024,Isha Malhotra,South,Vikram Singh,Electronics,Tablet,29591.58,2,59183.16,Cancelled
ORD00160,09-01-2024,Amit Patel,West,Neha Reddy,Sports,Yoga Mat,5019.67,1,5019.67,Delivered
ORD02107,10-01-2024,Vivek Malhotra,East,Rohan Mehta,Electronics,Tablet,53930.25,2,107860.5,Pending
ORD01188,10-01-2024,Pooja Reddy,South,Priya Nair,Groceries,Cooking Oil 1L,551.3,2,1102.6,Cancelled
ORD02277,10-01-2024,Rahul Malhotra,East,Sneha Iyer,Groceries,Cooking Oil 1L,941.43,2,1882.86,Delivered
ORD00191,10-01-2024,Pooja Joshi,North,Divya Menon,Electronics,Laptop,67509.18,2,135018.36,Delivered
ORD01366,10-01-2024,Shreya Patel,Central,Vikram Singh,Clothing,Jeans,3791.11,1,3791.11,Delivered
ORD00171,10-01-2024,Pooja Joshi,North,Aarav Sharma,Electronics,Smartphone,37004.65,1,37004.65,Delivered
ORD01933,11-01-2024,Aditi Malhotra,South,Divya Menon,Clothing,T-Shirt,2382.76,1,2382.76,Pending
ORD01779,11-01-2024,Sonal Shah,West,Aarav Sharma,Electronics,Smartphone,31511.72,2,63023.44,Cancelled
ORD00796,11-01-2024,Ananya Kapoor,North,Vikram Singh,Electronics,Headphones,64994.82,2,129989.64,Cancelled
ORD00059,12-01-2024,Amit Kapoor,West,Karan Verma,Sports,Dumbbells Set,7155.03,1,7155.03,Delivered
ORD01353,12-01-2024,Tarun Reddy,West,Sneha Iyer,Clothing,Formal Shirt,1362.39,1,1362.39,Delivered
ORD00175,12-01-2024,Vivek Malhotra,South,Arjun Rao,Electronics,Tablet,39431.97,1,39431.97,Delivered
ORD02148,12-01-2024,Pooja Joshi,Central,Karan Verma,Electronics,Laptop,9968.73,2,19937.46,Pending
ORD00897,12-01-2024,Rajesh Desai,East,Karan Verma,Groceries,Spices Pack,1428.83,1,1428.83,Delivered
ORD00921,12-01-2024,Ananya Rao,North,Divya Menon,Clothing,T-Shirt,602.97,1,602.97,Delivered
ORD02465,13-01-2024,Suresh Patel,North,Anjali Gupta,Electronics,Headphones,51599.98,1,51599.98,Delivered
ORD00884,13-01-2024,Nikhil Joshi,Central,Arjun Rao,Electronics,Tablet,77501.64,1,77501.64,Delivered
ORD02204,13-01-2024,Manish Joshi,West,Priya Nair,Furniture,Study Table,24181.08,1,24181.08,Delivered
ORD00736,13-01-2024,Kavya Malhotra,Central,Priya Nair,Electronics,Laptop,8535.7,1,8535.7,Pending
ORD00579,13-01-2024,Shreya Patel,Central,Divya Menon,Electronics,Tablet,59649.13,1,59649.13,Pending
ORD00863,14-01-2024,Ananya Nair,North,Rohan Mehta,Electronics,Laptop,36910.46,2,73820.92,Delivered
ORD01224,14-01-2024,Pooja Shah,West,Priya Nair,Sports,Football,3653.08,1,3653.08,Pending
ORD00341,15-01-2024,Rajesh Shah,South,Divya Menon,Furniture,Study Table,17471.08,1,17471.08,Pending
ORD01515,15-01-2024,Pooja Shah,East,Karan Verma,Electronics,Laptop,29725.06,1,29725.06,Cancelled
ORD00009,15-01-2024,Sonal Shah,West,Neha Reddy,Electronics,Laptop,78977.18,2,157954.36,Delivered
ORD01268,16-01-2024,Suresh Rao,West,Aarav Sharma,Groceries,Cooking Oil 1L,119.28,1,119.28,Delivered
ORD00738,16-01-2024,Gaurav Malhotra,North,Neha Reddy,Electronics,Smartwatch,25157.86,1,25157.86,Delivered
ORD02164,16-01-2024,Gaurav Patel,Central,Vikram Singh,Clothing,Jeans,2584.36,1,2584.36,Delivered
ORD00124,16-01-2024,Riya Shah,Central,Vikram Singh,Sports,Yoga Mat,4579.71,1,4579.71,Delivered
ORD00745,16-01-2024,Gaurav Kumar,East,Sneha Iyer,Groceries,Spices Pack,816.38,1,816.38,Delivered
